unit,vehicle,mot_nrg,geo\time,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1987 
NR,BUS_TOT,ELC,AT,14 ,5 ,8 ,3 ,0 ,0 ,0 ,8 ,0 ,11 ,10 ,9 ,11 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,ELC,BE,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,ELC,BG,5 ,5 ,25 ,16 ,9 r,: z,15 ,2 ,0 ,5 ,3 ,3 ,0 ,3 ,9 ,1 ,16 ,9 ,5 ,6 ,2 ,: ,: ,: ,: 
NR,BUS_TOT,ELC,CH,0 n,0 e,0 ,0 e,0 ,0 ,0 ,2 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,ELC,CY,0 ,0 ,0 ,0 ,1 ,0 ,: z,: z,: z,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: 
NR,BUS_TOT,ELC,DE,7 ,13 ,4 ,16 ,3 ,: ,: ,: ,3 ,11 ,15 ,14 ,3 ,: ,: ,1 ,3 ,12 ,11 ,12 ,13 ,: ,: ,: ,: 
NR,BUS_TOT,ELC,EE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,ELC,FI,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,ELC,FR,29 ,: ,: ,0 ,4 ,4 ,4 ,7 ,23 ,23 ,26 ,23 ,30 ,8 ,: ,: ,3 ,1 ,3 ,1 ,: ,6 ,3 ,15 ,10 
NR,BUS_TOT,ELC,HR,: z,: z,: z,: z,: z,: z,: ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,: ,: ,: ,: 
NR,BUS_TOT,ELC,HU,0 ,0 ,0 ,: ,0 ,0 ,0 ,0 ,0 ,: ,0 ,: ,: ,0 ,0 ,0 ,0 ,8 ,3 ,0 ,: ,: ,: ,: ,: 
NR,BUS_TOT,ELC,IE,0 ,0 ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,ELC,IS,: ,: ,: ,: ,: ,: ,: ,0 e,0 e,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,: ,: ,: ,: ,: 
NR,BUS_TOT,ELC,LI,: ,: ,0 ,0 ,0 ,0 ,0 ,: ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,ELC,LT,: ,2 ,0 ,4 ,5 ,28 ,37 ,37 ,15 ,: ,: ,: ,: ,15 r,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,ELC,LU,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,ELC,LV,0 ,0 ,76 ,76 ,62 ,29 ,3 ,30 ,0 ,0 ,0 ,13 ,9 ,2 ,35 ,1 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,ELC,MT,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,ELC,NO,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,: z,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,ELC,PL,: ,7 ,16 ,1 ,: ,4 ,10 ,8 ,: z,: ,: ,: ,: ,: ,: ,26 ,14 ,13 ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,ELC,SE,: ,0 ,: ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,5 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,ELC,SI,: ,: ,: ,: ,: ,: ,: z,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: 
NR,BUS_TOT,ELC,UK,: ,: ,: ,: ,: ,: ,: ,6 ,2 ,3 ,3 ,: ,: ,: ,10 ,: ,: ,2 ,: ,: ,: ,: ,: ,: ,: 
